query_id,query,search_rank,docid,reranking_group
49182,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",2,aydins,2.0
49182,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",3,alievsky,2.0
49182,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",4,tylermagnin,2.0
49182,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",5,hishamelhaddad,2.0
49182,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",6,erictoddlarosa,4.0
49182,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",7,sabrinamason,2.0
49182,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",8,dauren-aubakirov-14543353,4.0
49182,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",9,russheissner,1.0
49183,Full-Stack Software Engineer who is an expert in Ruby on Rails who has worked for an early stage VC backed tech startup with respectable tenures with a bachelors in computer science. Only show people from the U.S.,0,mitchashby,2.0
49183,Full-Stack Software Engineer who is an expert in Ruby on Rails who has worked for an early stage VC backed tech startup with respectable tenures with a bachelors in computer science. Only show people from the U.S.,1,katharinerawsonsibbald,2.0
49183,Full-Stack Software Engineer who is an expert in Ruby on Rails who has worked for an early stage VC backed tech startup with respectable tenures with a bachelors in computer science. Only show people from the U.S.,2,mattelhotiby,2.0
49183,Full-Stack Software Engineer who is an expert in Ruby on Rails who has worked for an early stage VC backed tech startup with respectable tenures with a bachelors in computer science. Only show people from the U.S.,3,philipychan,2.0
49183,Full-Stack Software Engineer who is an expert in Ruby on Rails who has worked for an early stage VC backed tech startup with respectable tenures with a bachelors in computer science. Only show people from the U.S.,4,jeffcarbonella,2.0
49183,Full-Stack Software Engineer who is an expert in Ruby on Rails who has worked for an early stage VC backed tech startup with respectable tenures with a bachelors in computer science. Only show people from the U.S.,5,roy-babbel-a56b02117,4.0
49183,Full-Stack Software Engineer who is an expert in Ruby on Rails who has worked for an early stage VC backed tech startup with respectable tenures with a bachelors in computer science. Only show people from the U.S.,6,wernull,1.0
49183,Full-Stack Software Engineer who is an expert in Ruby on Rails who has worked for an early stage VC backed tech startup with respectable tenures with a bachelors in computer science. Only show people from the U.S.,7,scottpustay,1.0
49183,Full-Stack Software Engineer who is an expert in Ruby on Rails who has worked for an early stage VC backed tech startup with respectable tenures with a bachelors in computer science. Only show people from the U.S.,8,sfsgagi,2.0
49183,Full-Stack Software Engineer who is an expert in Ruby on Rails who has worked for an early stage VC backed tech startup with respectable tenures with a bachelors in computer science. Only show people from the U.S.,9,johnfirebaugh,2.0
49187,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,0,pernekhan,2.0
49187,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,1,hamishtushar,2.0
49187,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,2,sudhirvijay,2.0
49187,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,3,hamishtushar,2.0
49187,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,4,kevin-wang-b96499128,2.0
49187,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,5,jeffyip7,2.0
49187,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,6,hanifigunes,2.0
49187,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,7,oleg-petrunya-034a4b1,1.0
49187,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,8,tarek-al-mouhtasseb-40164590,2.0
49187,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,9,morkvaivan,2.0
49188,"I am looking for an ASIC Design Verification Engineer.  
Bachelor's or Master's degree in Electrical Engineering, Computer Engineering, or a related field.  Strong experience in chip design, including a good understanding of design verification"".  Proficiency in UVM (Universal Verification Methodology) and/or other verification methodologies.  Solid programming skills in Python, C, C++, Verilog, or SystemVerilog.  Ideal persona: problem-solver, proactive, innovative, thinks outside the box.
I am not interested in those who have frequent job changes. Only show people from the U.S.",0,shivaprasadnc,4.0
49188,"I am looking for an ASIC Design Verification Engineer.  
Bachelor's or Master's degree in Electrical Engineering, Computer Engineering, or a related field.  Strong experience in chip design, including a good understanding of design verification"".  Proficiency in UVM (Universal Verification Methodology) and/or other verification methodologies.  Solid programming skills in Python, C, C++, Verilog, or SystemVerilog.  Ideal persona: problem-solver, proactive, innovative, thinks outside the box.
I am not interested in those who have frequent job changes. Only show people from the U.S.",2,satishbatchu,4.0
49188,"I am looking for an ASIC Design Verification Engineer.  
Bachelor's or Master's degree in Electrical Engineering, Computer Engineering, or a related field.  Strong experience in chip design, including a good understanding of design verification"".  Proficiency in UVM (Universal Verification Methodology) and/or other verification methodologies.  Solid programming skills in Python, C, C++, Verilog, or SystemVerilog.  Ideal persona: problem-solver, proactive, innovative, thinks outside the box.
I am not interested in those who have frequent job changes. Only show people from the U.S.",3,rameshb2k,3.0
49188,"I am looking for an ASIC Design Verification Engineer.  
Bachelor's or Master's degree in Electrical Engineering, Computer Engineering, or a related field.  Strong experience in chip design, including a good understanding of design verification"".  Proficiency in UVM (Universal Verification Methodology) and/or other verification methodologies.  Solid programming skills in Python, C, C++, Verilog, or SystemVerilog.  Ideal persona: problem-solver, proactive, innovative, thinks outside the box.
I am not interested in those who have frequent job changes. Only show people from the U.S.",4,mingyang-zhang-8554765,4.0
49188,"I am looking for an ASIC Design Verification Engineer.  
Bachelor's or Master's degree in Electrical Engineering, Computer Engineering, or a related field.  Strong experience in chip design, including a good understanding of design verification"".  Proficiency in UVM (Universal Verification Methodology) and/or other verification methodologies.  Solid programming skills in Python, C, C++, Verilog, or SystemVerilog.  Ideal persona: problem-solver, proactive, innovative, thinks outside the box.
I am not interested in those who have frequent job changes. Only show people from the U.S.",5,srikanthnomula1,4.0
49188,"I am looking for an ASIC Design Verification Engineer.  
Bachelor's or Master's degree in Electrical Engineering, Computer Engineering, or a related field.  Strong experience in chip design, including a good understanding of design verification"".  Proficiency in UVM (Universal Verification Methodology) and/or other verification methodologies.  Solid programming skills in Python, C, C++, Verilog, or SystemVerilog.  Ideal persona: problem-solver, proactive, innovative, thinks outside the box.
I am not interested in those who have frequent job changes. Only show people from the U.S.",6,yanke-li-2017a0112,4.0
49188,"I am looking for an ASIC Design Verification Engineer.  
Bachelor's or Master's degree in Electrical Engineering, Computer Engineering, or a related field.  Strong experience in chip design, including a good understanding of design verification"".  Proficiency in UVM (Universal Verification Methodology) and/or other verification methodologies.  Solid programming skills in Python, C, C++, Verilog, or SystemVerilog.  Ideal persona: problem-solver, proactive, innovative, thinks outside the box.
I am not interested in those who have frequent job changes. Only show people from the U.S.",7,tong-chang-19b58750,4.0
49188,"I am looking for an ASIC Design Verification Engineer.  
Bachelor's or Master's degree in Electrical Engineering, Computer Engineering, or a related field.  Strong experience in chip design, including a good understanding of design verification"".  Proficiency in UVM (Universal Verification Methodology) and/or other verification methodologies.  Solid programming skills in Python, C, C++, Verilog, or SystemVerilog.  Ideal persona: problem-solver, proactive, innovative, thinks outside the box.
I am not interested in those who have frequent job changes. Only show people from the U.S.",8,pavneet29,4.0
49188,"I am looking for an ASIC Design Verification Engineer.  
Bachelor's or Master's degree in Electrical Engineering, Computer Engineering, or a related field.  Strong experience in chip design, including a good understanding of design verification"".  Proficiency in UVM (Universal Verification Methodology) and/or other verification methodologies.  Solid programming skills in Python, C, C++, Verilog, or SystemVerilog.  Ideal persona: problem-solver, proactive, innovative, thinks outside the box.
I am not interested in those who have frequent job changes. Only show people from the U.S.",9,vidur-kapoor-782521,3.0
49190,"Business development manager (junior to mid-level, not senior or director-level) with experience in B2B SaaS AI products (productivity software), preferably in startups, based in Philadelphia",0,vincepaton,1.0
49190,"Business development manager (junior to mid-level, not senior or director-level) with experience in B2B SaaS AI products (productivity software), preferably in startups, based in Philadelphia",1,seanmkavanaughexecutivesearch,2.0
49190,"Business development manager (junior to mid-level, not senior or director-level) with experience in B2B SaaS AI products (productivity software), preferably in startups, based in Philadelphia",2,jihad-abouhatab,1.0
49190,"Business development manager (junior to mid-level, not senior or director-level) with experience in B2B SaaS AI products (productivity software), preferably in startups, based in Philadelphia",3,markbpeterson,2.0
49190,"Business development manager (junior to mid-level, not senior or director-level) with experience in B2B SaaS AI products (productivity software), preferably in startups, based in Philadelphia",4,abahazysalesdevelopment,1.0
49190,"Business development manager (junior to mid-level, not senior or director-level) with experience in B2B SaaS AI products (productivity software), preferably in startups, based in Philadelphia",5,mickeyrichardson,1.0
49190,"Business development manager (junior to mid-level, not senior or director-level) with experience in B2B SaaS AI products (productivity software), preferably in startups, based in Philadelphia",6,kennethrosner,2.0
49190,"Business development manager (junior to mid-level, not senior or director-level) with experience in B2B SaaS AI products (productivity software), preferably in startups, based in Philadelphia",7,john-jack-armstrong-a2415a28,1.0
49190,"Business development manager (junior to mid-level, not senior or director-level) with experience in B2B SaaS AI products (productivity software), preferably in startups, based in Philadelphia",8,danyolton,1.0
49190,"Business development manager (junior to mid-level, not senior or director-level) with experience in B2B SaaS AI products (productivity software), preferably in startups, based in Philadelphia",9,andrea-nardello-552b45,1.0
49192,Looking for in house recruiter based in san Francisco at top VC backed companies (between seed - series C) with under 3 years of experience out of college,0,olivia-brekhus-lavinsky-16283b1b7,2.0
49192,Looking for in house recruiter based in san Francisco at top VC backed companies (between seed - series C) with under 3 years of experience out of college,1,chirag-patel-12a0aa25a,2.0
49192,Looking for in house recruiter based in san Francisco at top VC backed companies (between seed - series C) with under 3 years of experience out of college,2,alexander-kuskov-recruitment,4.0
49192,Looking for in house recruiter based in san Francisco at top VC backed companies (between seed - series C) with under 3 years of experience out of college,3,jessica-maldez-7816a257,1.0
49192,Looking for in house recruiter based in san Francisco at top VC backed companies (between seed - series C) with under 3 years of experience out of college,4,marielisa-salas-a06b27267,2.0
49192,Looking for in house recruiter based in san Francisco at top VC backed companies (between seed - series C) with under 3 years of experience out of college,5,claire-hu-57454827b,2.0
49192,Looking for in house recruiter based in san Francisco at top VC backed companies (between seed - series C) with under 3 years of experience out of college,6,richard-klein-28499134,2.0
49192,Looking for in house recruiter based in san Francisco at top VC backed companies (between seed - series C) with under 3 years of experience out of college,7,shelly-goldstein-241562164,1.0
49192,Looking for in house recruiter based in san Francisco at top VC backed companies (between seed - series C) with under 3 years of experience out of college,8,samuel-levin-cowles-06658222a,2.0
49192,Looking for in house recruiter based in san Francisco at top VC backed companies (between seed - series C) with under 3 years of experience out of college,9,darcy-brooks-196b0b8,2.0
49194,a collective intelligence expert who can help me architect a new software. Only show people from the U.S.,0,aldiyen,2.0
49194,a collective intelligence expert who can help me architect a new software. Only show people from the U.S.,1,jimmydief,2.0
49194,a collective intelligence expert who can help me architect a new software. Only show people from the U.S.,2,brianlockyear,2.0
49194,a collective intelligence expert who can help me architect a new software. Only show people from the U.S.,3,ahmdtaha,2.0
49194,a collective intelligence expert who can help me architect a new software. Only show people from the U.S.,4,nate-jacobs,2.0
49194,a collective intelligence expert who can help me architect a new software. Only show people from the U.S.,5,debangshumukherjee,1.0
49194,a collective intelligence expert who can help me architect a new software. Only show people from the U.S.,6,spencer-mcewen-624a914,2.0
49194,a collective intelligence expert who can help me architect a new software. Only show people from the U.S.,7,jgerigmeyer,2.0
49194,a collective intelligence expert who can help me architect a new software. Only show people from the U.S.,8,andrewzbikowski,1.0
49194,a collective intelligence expert who can help me architect a new software. Only show people from the U.S.,9,anthony-kaigwa,2.0
49200,"Looking for C level or senior executives currently running innovation and strategy at large corporations. I only need senior level full time employees, avoid consultants. Only show people from the U.S.",0,antonhanebrink,4.0
49200,"Looking for C level or senior executives currently running innovation and strategy at large corporations. I only need senior level full time employees, avoid consultants. Only show people from the U.S.",1,daydaniel,2.0
49200,"Looking for C level or senior executives currently running innovation and strategy at large corporations. I only need senior level full time employees, avoid consultants. Only show people from the U.S.",2,juliaschwartz,4.0
49200,"Looking for C level or senior executives currently running innovation and strategy at large corporations. I only need senior level full time employees, avoid consultants. Only show people from the U.S.",3,peter-durlach-msft,4.0
49200,"Looking for C level or senior executives currently running innovation and strategy at large corporations. I only need senior level full time employees, avoid consultants. Only show people from the U.S.",4,drsuelam,3.0
49200,"Looking for C level or senior executives currently running innovation and strategy at large corporations. I only need senior level full time employees, avoid consultants. Only show people from the U.S.",5,peplupo,4.0
49200,"Looking for C level or senior executives currently running innovation and strategy at large corporations. I only need senior level full time employees, avoid consultants. Only show people from the U.S.",6,luke-e-keller,4.0
49200,"Looking for C level or senior executives currently running innovation and strategy at large corporations. I only need senior level full time employees, avoid consultants. Only show people from the U.S.",7,vedrashko,3.0
49200,"Looking for C level or senior executives currently running innovation and strategy at large corporations. I only need senior level full time employees, avoid consultants. Only show people from the U.S.",8,jake-campshure,3.0
49200,"Looking for C level or senior executives currently running innovation and strategy at large corporations. I only need senior level full time employees, avoid consultants. Only show people from the U.S.",9,nahrekhartoonian,2.0
49201,digital marketer manager with experience in the biotech. Only show people from the U.S.,0,andrewcerri,2.0
49201,digital marketer manager with experience in the biotech. Only show people from the U.S.,1,sedadogan,2.0
49201,digital marketer manager with experience in the biotech. Only show people from the U.S.,2,mikekakunda,3.0
49201,digital marketer manager with experience in the biotech. Only show people from the U.S.,3,caitlin-wells-93812524,2.0
49201,digital marketer manager with experience in the biotech. Only show people from the U.S.,4,scott-kane-柯世杰-5bb4a739,2.0
49201,digital marketer manager with experience in the biotech. Only show people from the U.S.,5,brian-lotterman,4.0
49201,digital marketer manager with experience in the biotech. Only show people from the U.S.,6,kim-pelak,2.0
49201,digital marketer manager with experience in the biotech. Only show people from the U.S.,7,sfschmid,2.0
49201,digital marketer manager with experience in the biotech. Only show people from the U.S.,8,kristin-kleven-santos-ms-31a554b,2.0
49201,digital marketer manager with experience in the biotech. Only show people from the U.S.,9,niktajaberzadeh,3.0
49204,COOs from small consumer hardware companies in California,0,rymcnamara,1.0
49204,COOs from small consumer hardware companies in California,1,raysawall,1.0
49204,COOs from small consumer hardware companies in California,2,nils-grimm-0790395,1.0
49204,COOs from small consumer hardware companies in California,3,aubreythelen,1.0
49204,COOs from small consumer hardware companies in California,4,brandonconnors,1.0
49204,COOs from small consumer hardware companies in California,5,joaniegentile,1.0
49204,COOs from small consumer hardware companies in California,6,damianbrown,1.0
49204,COOs from small consumer hardware companies in California,7,ned-tannenbaum-9289b656,1.0
49204,COOs from small consumer hardware companies in California,8,jeffrey-chiappone,1.0
49204,COOs from small consumer hardware companies in California,9,brad-tallon,4.0
49208,"UX designer with respectable tenures in the bay area who has AI experience, early-stage tech company experience, and is focused on human centered design",1,anushriyabhardwaj,4.0
49208,"UX designer with respectable tenures in the bay area who has AI experience, early-stage tech company experience, and is focused on human centered design",2,pranavijavangula,2.0
49208,"UX designer with respectable tenures in the bay area who has AI experience, early-stage tech company experience, and is focused on human centered design",3,lesha-gajjar,3.0
49208,"UX designer with respectable tenures in the bay area who has AI experience, early-stage tech company experience, and is focused on human centered design",4,yunjichung,2.0
49208,"UX designer with respectable tenures in the bay area who has AI experience, early-stage tech company experience, and is focused on human centered design",5,helenzh,2.0
49208,"UX designer with respectable tenures in the bay area who has AI experience, early-stage tech company experience, and is focused on human centered design",6,asha-patel-733b53115,4.0
49208,"UX designer with respectable tenures in the bay area who has AI experience, early-stage tech company experience, and is focused on human centered design",7,saurabhchachra,3.0
49208,"UX designer with respectable tenures in the bay area who has AI experience, early-stage tech company experience, and is focused on human centered design",8,natalliadesign,4.0
49208,"UX designer with respectable tenures in the bay area who has AI experience, early-stage tech company experience, and is focused on human centered design",9,uxjason,2.0
49211,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,0,manlio-barajas,2.0
49211,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,1,nghia-ho-6259866,4.0
49211,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,2,kchin1989,2.0
49211,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,3,mo-taz-al-hami-1487a882,2.0
49211,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,4,jacobpopham,2.0
49211,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,5,neerajpanse,4.0
49211,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,6,gerardmaggiolino,2.0
49211,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,7,patrickvarin,3.0
49211,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,8,pulkit-budhiraja-8409aa21,3.0
49211,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,9,pavelsurmenok,2.0
49216,founders who sold their companies or did an IPO. Only show people from the U.S.,0,andrewlipovsky,3.0
49216,founders who sold their companies or did an IPO. Only show people from the U.S.,1,radhikaiyengar13,1.0
49216,founders who sold their companies or did an IPO. Only show people from the U.S.,2,mnsaad,1.0
49216,founders who sold their companies or did an IPO. Only show people from the U.S.,3,mashley,4.0
49216,founders who sold their companies or did an IPO. Only show people from the U.S.,4,anjismail,1.0
49216,founders who sold their companies or did an IPO. Only show people from the U.S.,5,casperalexander,4.0
49216,founders who sold their companies or did an IPO. Only show people from the U.S.,6,mindyfinn,1.0
49216,founders who sold their companies or did an IPO. Only show people from the U.S.,7,jordanglee,1.0
49216,founders who sold their companies or did an IPO. Only show people from the U.S.,8,mikejohns,1.0
49216,founders who sold their companies or did an IPO. Only show people from the U.S.,9,conwayann,4.0
49229,rust/go engineer with embedded coding experience for AI robotics startup Los Angeles. Only show people from the U.S.,0,deanohashi,1.0
49229,rust/go engineer with embedded coding experience for AI robotics startup Los Angeles. Only show people from the U.S.,1,jason-majors,2.0
49229,rust/go engineer with embedded coding experience for AI robotics startup Los Angeles. Only show people from the U.S.,2,aaronm04,2.0
49229,rust/go engineer with embedded coding experience for AI robotics startup Los Angeles. Only show people from the U.S.,3,brrcrites,2.0
49229,rust/go engineer with embedded coding experience for AI robotics startup Los Angeles. Only show people from the U.S.,4,neil-hansen-45a23141,2.0
49229,rust/go engineer with embedded coding experience for AI robotics startup Los Angeles. Only show people from the U.S.,5,weston-kelliher-42a88a8a,3.0
49229,rust/go engineer with embedded coding experience for AI robotics startup Los Angeles. Only show people from the U.S.,6,troy-ballinger,2.0
49229,rust/go engineer with embedded coding experience for AI robotics startup Los Angeles. Only show people from the U.S.,7,robgonnella,2.0
49229,rust/go engineer with embedded coding experience for AI robotics startup Los Angeles. Only show people from the U.S.,8,alex-lazar-7b505770,2.0
49229,rust/go engineer with embedded coding experience for AI robotics startup Los Angeles. Only show people from the U.S.,9,george-albertson,4.0
49247,VP of Marketing based in LA with strong understandings of data analytics,0,cameron-heymans-47b5ab38,4.0
49247,VP of Marketing based in LA with strong understandings of data analytics,1,tylerbphillips9,2.0
49247,VP of Marketing based in LA with strong understandings of data analytics,2,brandon-ballew-08414645,2.0
49247,VP of Marketing based in LA with strong understandings of data analytics,3,stephaniekingho,4.0
49247,VP of Marketing based in LA with strong understandings of data analytics,4,victoriaekwenuke,3.0
49247,VP of Marketing based in LA with strong understandings of data analytics,5,laurenyu,2.0
49247,VP of Marketing based in LA with strong understandings of data analytics,6,dani-shalmone,3.0
49247,VP of Marketing based in LA with strong understandings of data analytics,7,armen-rostamian,4.0
49247,VP of Marketing based in LA with strong understandings of data analytics,8,vanus-w-913099a,1.0
49247,VP of Marketing based in LA with strong understandings of data analytics,9,analytics-daniel-kim,2.0
49253,product manager social referral and community mechanics in apps. Only show people from the U.S.,0,jarreaujweber,2.0
49253,product manager social referral and community mechanics in apps. Only show people from the U.S.,1,eileenynhung,2.0
49253,product manager social referral and community mechanics in apps. Only show people from the U.S.,2,nateceres,1.0
49253,product manager social referral and community mechanics in apps. Only show people from the U.S.,3,nateceres,1.0
49253,product manager social referral and community mechanics in apps. Only show people from the U.S.,4,mariasylviariquezes,2.0
49253,product manager social referral and community mechanics in apps. Only show people from the U.S.,5,tammy-beachem-25171183,2.0
49253,product manager social referral and community mechanics in apps. Only show people from the U.S.,6,mcurtes,2.0
49253,product manager social referral and community mechanics in apps. Only show people from the U.S.,7,jaxhsieh,2.0
49253,product manager social referral and community mechanics in apps. Only show people from the U.S.,8,bradleycollins,2.0
49253,product manager social referral and community mechanics in apps. Only show people from the U.S.,9,eugeniakoo,2.0
49263,"looking for a CTO with experience in AI and machine learning, who has also led a team of 50+ developers. Bonus if they have a background in cybersecurity. Only show people from the U.S.",0,johnlangton,2.0
49263,"looking for a CTO with experience in AI and machine learning, who has also led a team of 50+ developers. Bonus if they have a background in cybersecurity. Only show people from the U.S.",1,tanavt,1.0
49263,"looking for a CTO with experience in AI and machine learning, who has also led a team of 50+ developers. Bonus if they have a background in cybersecurity. Only show people from the U.S.",2,sperepa,2.0
49263,"looking for a CTO with experience in AI and machine learning, who has also led a team of 50+ developers. Bonus if they have a background in cybersecurity. Only show people from the U.S.",3,ac56,4.0
49263,"looking for a CTO with experience in AI and machine learning, who has also led a team of 50+ developers. Bonus if they have a background in cybersecurity. Only show people from the U.S.",4,shawnbzhang,2.0
49263,"looking for a CTO with experience in AI and machine learning, who has also led a team of 50+ developers. Bonus if they have a background in cybersecurity. Only show people from the U.S.",5,lisafchang,2.0
49263,"looking for a CTO with experience in AI and machine learning, who has also led a team of 50+ developers. Bonus if they have a background in cybersecurity. Only show people from the U.S.",6,kushkhosla1,2.0
49263,"looking for a CTO with experience in AI and machine learning, who has also led a team of 50+ developers. Bonus if they have a background in cybersecurity. Only show people from the U.S.",7,jun-wang-7309a82,2.0
49263,"looking for a CTO with experience in AI and machine learning, who has also led a team of 50+ developers. Bonus if they have a background in cybersecurity. Only show people from the U.S.",8,raefer,2.0
49263,"looking for a CTO with experience in AI and machine learning, who has also led a team of 50+ developers. Bonus if they have a background in cybersecurity. Only show people from the U.S.",9,abhishek-sharma-76b84729,3.0
49271,Venture investor. Only show people from the U.S.,0,denistolkachev,2.0
49271,Venture investor. Only show people from the U.S.,1,bergren-l-antell,2.0
49271,Venture investor. Only show people from the U.S.,2,charlesraub,1.0
49271,Venture investor. Only show people from the U.S.,3,meredithbaade,1.0
49271,Venture investor. Only show people from the U.S.,4,onusa,4.0
49271,Venture investor. Only show people from the U.S.,5,johncoleeng,4.0
49271,Venture investor. Only show people from the U.S.,6,davis-amanyisye-ccim-cre-investment-sales-6b96b813,1.0
49271,Venture investor. Only show people from the U.S.,7,michael-gazzolo-cfp®-caia-cfa-71308410,1.0
49271,Venture investor. Only show people from the U.S.,8,masmith1,3.0
49271,Venture investor. Only show people from the U.S.,9,derekjhafner,1.0
49279,founder of fintech startup. Only show people from the U.S.,0,andrewlipovsky,1.0
49279,founder of fintech startup. Only show people from the U.S.,1,anjismail,4.0
49279,founder of fintech startup. Only show people from the U.S.,2,laurie-dubchansky-cfp®-94305022,2.0
49279,founder of fintech startup. Only show people from the U.S.,3,timothyflannery,4.0
49279,founder of fintech startup. Only show people from the U.S.,4,faviero,4.0
49279,founder of fintech startup. Only show people from the U.S.,5,clsscllc,2.0
49279,founder of fintech startup. Only show people from the U.S.,6,lesleygao,1.0
49279,founder of fintech startup. Only show people from the U.S.,7,jonathanbeck1,3.0
49279,founder of fintech startup. Only show people from the U.S.,8,saeidkian,4.0
49279,founder of fintech startup. Only show people from the U.S.,9,dogoodinvestor,3.0
49303,"owners and CEO of Amazon paid social agencies, who work with largest brands. Only show people from the U.S.",0,patonorata,1.0
49303,"owners and CEO of Amazon paid social agencies, who work with largest brands. Only show people from the U.S.",1,andrewlipovsky,1.0
49303,"owners and CEO of Amazon paid social agencies, who work with largest brands. Only show people from the U.S.",2,cvescovo,1.0
49303,"owners and CEO of Amazon paid social agencies, who work with largest brands. Only show people from the U.S.",3,radhikaiyengar13,1.0
49303,"owners and CEO of Amazon paid social agencies, who work with largest brands. Only show people from the U.S.",4,mnsaad,2.0
49303,"owners and CEO of Amazon paid social agencies, who work with largest brands. Only show people from the U.S.",5,mashley,1.0
49303,"owners and CEO of Amazon paid social agencies, who work with largest brands. Only show people from the U.S.",6,anjismail,1.0
49303,"owners and CEO of Amazon paid social agencies, who work with largest brands. Only show people from the U.S.",7,casperalexander,1.0
